geography,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2024_scaling_fact,2026_scaling_fact,2030_scaling_fact,2024_scaled_BTN_places,2026_scaled_BTN_places,2030_scaled_BTN_places,2024_realistic_apps
E01016958,14.32143292,13.48712677,13.37358214,14.39054704,13.49700021,13.89687476,13.7537098,13.1909234,12.5639596,12.70712456,12.7367449,0.004936723,0.004936723,0.004936723,12.63801044,11.89750202,10.93484106,11.1409458424242
E01016908,25.99755438,24.48304673,24.27693031,26.12301656,24.5009699,25.22685818,24.96697225,23.94535171,22.80723058,23.06711651,23.12088601,0.008961584,0.008961584,0.008961584,22.94165433,21.59741677,19.84990795,20.2240478942149
E01016983,21.40876239,20.16157837,19.99184326,21.51207941,20.17633794,20.7741007,20.56008687,19.71879114,18.78155818,18.995572,19.03985073,0.007379787,0.007379787,0.007379787,18.89225498,17.78528692,16.34622843,16.6543294589532
E01016989,18.61297144,17.52865838,17.38108915,18.70279619,17.54149049,18.06119083,17.87512528,17.14369517,16.32885637,16.51492192,16.55341824,0.006416054,0.006416054,0.006416054,16.42509717,15.46268913,14.21155868,14.4794245024793
E01016919,13.65476515,12.85929624,12.75103716,13.72066198,12.86871007,13.24997032,13.11346974,12.57688124,11.97910283,12.11560341,12.14384491,0.004706917,0.004706917,0.004706917,12.04970658,11.34366908,10.42582034,10.6223308694215
E01016884,20.66788118,19.46385777,19.29999659,20.76762276,19.47810656,20.05518287,19.84857531,19.03639383,18.13159517,18.33820274,18.38094914,0.007124399,0.007124399,0.007124399,18.23846116,17.16980132,15.78054354,16.0779822898072
E01016941,4.990136687,4.699432413,4.659869109,5.014218698,4.7028727,4.842204334,4.792320169,4.596223795,4.377765553,4.427649718,4.43797058,0.001720144,0.001720144,0.001720144,4.403567707,4.145546162,3.810118153,3.88193296484848
E01016899,8.959829324,8.437867533,8.366831313,9.003068763,8.444044596,8.694215632,8.604648224,8.252555655,7.860312179,7.949879587,7.968410775,0.003088531,0.003088531,0.003088531,7.906640148,7.443360452,6.841096847,6.97004090181818
E01016998,23.29873477,21.94144894,21.75672957,23.41117265,21.9575115,22.60804494,22.37513791,21.45957232,20.43960013,20.67250717,20.72069483,0.008031277,0.008031277,0.008031277,20.56006929,19.35537773,17.7892787,18.1245789884298
E01016925,16.28400236,15.3353652,15.20626073,16.36258768,15.34659167,15.80126392,15.63848003,14.99857094,14.28568976,14.44847365,14.48215308,0.005613238,0.005613238,0.005613238,14.36988833,13.52790268,12.43332134,12.667670153168
E01016985,21.65272583,20.39132953,20.21966022,21.7572202,20.4062573,21.01083186,20.79437924,19.94349653,18.99558333,19.21203595,19.25681925,0.007463883,0.007463883,0.007463883,19.10754158,17.98795907,16.5325018,16.8441137895317
E01016974,16.64489851,15.67523707,15.54327131,16.72522549,15.68671235,16.15146133,15.98506972,15.33097857,14.60229807,14.76868968,14.80311553,0.005737642,0.005737642,0.005737642,14.6883627,13.82771645,12.70887632,12.9484189090909
E01016984,22.28056145,20.9825901,20.80594312,22.38808571,20.99795071,21.62005532,21.39732651,20.52177187,19.54637329,19.7691021,19.81518392,0.007680304,0.007680304,0.007680304,19.66157784,18.50953227,17.01187302,17.3325204099174
E01016855,5.6744951,5.343922997,5.298933894,5.701879772,5.347835093,5.506274977,5.449549586,5.22656012,4.97814203,5.034867421,5.046603709,0.001956048,0.001956048,0.001956048,5.00748275,4.714075557,4.332646207,4.41430986225895
E01016935,23.97986042,22.58289509,22.39277555,24.09558536,22.59942723,23.26897866,23.02926271,22.08693107,21.03714056,21.2768565,21.32645291,0.008266067,0.008266067,0.008266067,21.16113157,19.92122151,18.30933844,18.6544410534435
E01016981,24.68374397,23.24577336,23.05007322,24.8028658,23.26279077,23.95199561,23.70524326,22.73525125,21.65464612,21.90139848,21.95245069,0.008508702,0.008508702,0.008508702,21.78227665,20.50597138,18.84677452,19.2020069641873
E01016917,15.98535061,15.05411164,14.92737498,16.06249467,15.06513222,15.51146569,15.35166729,14.72349426,14.02368746,14.18348586,14.2165476,0.00551029,0.00551029,0.00551029,14.1063418,13.27979834,12.20529183,12.4353426336088
E01016952,2.323465586,2.1881103,2.169689167,2.33467845,2.189712138,2.254586565,2.231359918,2.140055169,2.038338475,2.061565122,2.066370635,0.000800919,0.000800919,0.000800919,2.050352258,1.93021443,1.774035254,1.80747306490358
E01016894,13.64419439,12.84934129,12.74116601,13.71004021,12.85874783,13.23971293,13.10331802,12.56714492,11.96982927,12.10622418,12.13444382,0.004703273,0.004703273,0.004703273,12.04037837,11.33488745,10.41774925,10.6141076539945
E01017004,19.98168827,18.81763955,18.65921872,20.07811834,18.83141528,19.38933212,19.18958411,18.40436782,17.52960932,17.72935732,17.7706845,0.006887862,0.006887862,0.006887862,17.63292725,16.59974792,15.25661479,15.544178292011
E01016943,15.2708963,14.38127842,14.26020617,15.34459246,14.39180644,14.81819135,14.66553502,14.06543775,13.39690834,13.54956466,13.58114873,0.005264011,0.005264011,0.005264011,13.47586851,12.68626684,11.65978466,11.879553507438
E01033328,6.954540619,6.549398473,6.494260785,6.98810269,6.554193055,6.74837361,6.678852177,6.405561025,6.101105093,6.170626526,6.185010271,0.002397291,0.002397291,0.002397291,6.137064455,5.777470835,5.309999128,5.41008436804408
E01016972,13.98006191,13.16564258,13.05480445,14.0475286,13.17528068,13.56562367,13.42587124,12.87649963,12.26448037,12.4042328,12.43314709,0.004819049,0.004819049,0.004819049,12.33676611,11.61390872,10.67419411,10.8753861024793
E01016977,18.95067346,17.84668731,17.69644067,19.04212793,17.85975223,18.38888169,18.19944028,17.45473957,16.62511684,16.81455825,16.85375302,0.006532462,0.006532462,0.006532462,16.72310378,15.74323441,14.46940424,14.7421300539945
E01016916,12.73378128,11.991965,11.89100776,12.79523352,12.00074389,12.35628897,12.22899506,11.72859827,11.1711387,11.29843262,11.32476929,0.004389445,0.004389445,0.004389445,11.23698038,10.57856356,9.722621698,9.90587802093664
E01016973,17.92516215,16.88091795,16.73880188,18.01166758,16.89327587,17.39377161,17.21458178,16.51018037,15.72545249,15.90464232,15.94171608,0.00617896,0.00617896,0.00617896,15.81813688,14.89129292,13.68639578,13.9443630898072
E01016957,12.95961786,12.20464529,12.10189754,13.02215996,12.21357988,12.57543063,12.44587913,11.93660769,11.36926144,11.49881295,11.52561671,0.004467293,0.004467293,0.004467293,11.43627084,10.76617685,9.895054655,10.0815610710744
E01016920,23.30607277,21.94835946,21.76358191,23.41854606,21.96442707,22.6151654,22.38218501,21.46633107,20.44603764,20.67901803,20.72722087,0.008033807,0.008033807,0.008033807,20.56654474,19.36147376,17.79488148,18.1302873741047
E01016944,9.329461738,8.785966724,8.711999947,9.374484993,8.792398618,9.052890311,8.959627853,8.593009915,8.184584668,8.277847126,8.297142807,0.003215947,0.003215947,0.003215947,8.23282387,7.750431847,7.123322216,7.25758578071626
E01016947,17.3382113,16.32816038,16.19069783,17.42188416,16.34011365,16.82422089,16.65089855,15.96956243,15.21053008,15.38385243,15.41971222,0.005976633,0.005976633,0.005976633,15.30017957,14.40368467,13.23824131,13.4877616044077
E01016886,20.9472259,19.72692905,19.56085314,21.04831558,19.74137043,20.32624644,20.11684639,19.29368756,18.37665975,18.5860598,18.62938395,0.007220691,0.007220691,0.007220691,18.48497012,17.4018664,15.99383157,16.2952904639118
